Subject ,Condition ,Comprehensibility,Scheme.Quality,The two stories are similar,Radiation.WO.Hint,BeforeHint,Radiation.W.Hint,AfterHint,Gender,Gender.Other,Race,Age,Feedback
127,2,Good,Poor,Disagree,laser surgery,0,laser surgery,0,Female,,Non-Hispanic White or Euro-American,35 - 44,none
128,2,Good,Intermediate,Moderately Agree,A steady increase to the rays might keep the patient safe while destroying the tumor slowly.,0,A slow and steady approach works best in these situations.,0,Female,,Non-Hispanic White or Euro-American,25 - 34,Too short of a timer
129,2,Good,Good ,Moderately Agree,Set up an array of rays from around the tumor at different locations to bombard it from multiple angles at the same time with lower intensity. Hopefully that will still have the effect you want.,1,Previous solution. No time to retype it -- timer on HIT is too short!,1,Male,,Non-Hispanic White or Euro-American,35 - 44,You need a longer timer on this! I have a script to warn me when time is running out and it started clanging at me two screens ago. 
130,2,Good,Poor ,Moderately Agree,no idea,0,The fire chief,0,Male,,South Asian or Indian American,25 - 34,no
131,1,Good,Poor ,Agree,Qualified x rays,0,yes,0,Male,,South Asian or Indian American,25 - 34,good
132,1,Good,Intermediate,Agree,USING SEVERAL LASER AT A LOWER RATE,1,USING A LASER ON A SMALLER AREA OF THE TISSUE ,1,Female,,Non-Hispanic White or Euro-American,45 - 54,
133,1,Good,Good ,Agree,Use a ray at medium level.,0,Use the same force in the ray but in small applications. ,1,Male,,Latino or Hispanic American,25 - 34,NO
134,1,Good,Poor,Moderately Disagree,LOWR INTENSITIES RAY USED FOR DESTROYED TUMOR,0,THE SOLUTION DOES NOT DEPENDS ON THESE TWO STORIES SIMPLY FOR MAKING HUMAN HEALTH DEPENDS UPON USED FOR  LOW INTENSITIES FOR DESTROY TUMOR,0,Male,,South Asian or Indian American,25 - 34,GOOD STUDY
135,1,Good,Good ,Agree,"It seems like you have to use a ray with intensity that is in between the two intensities mentioned so that it's strong enough to kill the tumor tissue without affecting the healthy tissue, or perhaps you have to use a large amount of the lower intensity rays to achieve the same effect.",0,Use a large amount of the lower intensity rays in order to kill the tumor tissue without affecting the healthy tissue.,0,Male,,Non-Hispanic White or Euro-American,18 - 24,The timer is too short on this and there's an awful lot of writing in such a short time.
136,2,Intermediate,Poor,Moderately Agree,"the research question would investigate the relative effectiveness of analogical reasoning compared to providing appropriate background about the machine.  Since no participant has experience in the area, one would expect fixation to be minimal.",0,"Unfortunately, at this intensity the healthy tissue that the rays pass through on the way to the tumor will also be destroyed.
At lower intensities the rays are harmless to healthy tissue, but they will not affect the tumor either.
If the rays reach the tumor all at once at a sufficiently high intensity, the tumor will be destroyed.
uppose you are a doctor faced with a patient who has a malignant tumor in his stomach.",0,Male,,East Asian or Asian American,25 - 34,
137,1,Good,Good,Agree,"Small isolated usage of rays used to damage the tumor significantly over time without causing enough damage to the surrounding body ti prove fatal. Over time the tumor could be destroyed, while the individual maintains their health. ",0,I suggested using small isolated bouts of ray usage to destroy the tumor over time. ,1,Male,,Non-Hispanic White or Euro-American,35 - 44,
138,2,Intermediate,Poor,Strongly Agree,nice,0,nothing no,0,Male,,South Asian or Indian American,25 - 34,
139,2,Good,Poor,Moderately Disagree,Xray possibly might help to show more information,0,UV rays might work.,0,Male,,Non-Hispanic White or Euro-American,25 - 34,
140,1,Intermediate,Good,Moderately Agree,many tiny rays reaching the tumor at once,1,many tiny rays at once to hit the tumor,1,Female,,Non-Hispanic White or Euro-American,25 - 34,"this was an interesting study
"
141,1,Intermediate,Intermediate,Strongly Agree,Using the ray in smaller groups and trying to do it over the course of several tries.,1,By trying to use the rays in smaller groups over time.,1,Male,,Non-Hispanic White or Euro-American,25 - 34,Thank you for allowing me to participate.
142,2,Intermediate,Poor,Agree,I can manage the problem,0,Fire place ,0,Male,,East Asian or Asian American,25 - 34, nice
143,2,Good,Poor,Agree,same but some different,0,good,0,Male,,South Asian or Indian American,25 - 34,good
144,1,Intermediate,Poor,Agree,Use the ray partially and try to avoid destroying healthy tissue.,0,Have someone operate on the patient whilst some else uses the ray.,0,Male,,Non-Hispanic White or Euro-American,18 - 24,
145,1,Good,Poor,Strongly Agree,YES,0,YES,0,Male,,Non-Hispanic White or Euro-American,45 - 54,GOOD
146,1,Good,Good,Strongly Agree,A procedure that attacked the tumor from many different directions with smaller amounts of rays from each direction.,1,A procedure that used smaller doses of rays from all angles rather than one large dose from the same angle,1,Male,,Non-Hispanic White or Euro-American,35 - 44,
147,2,Good,Poor,Agree,health issues,0,good,0,Male,,South Asian or Indian American,25 - 34,good
148,2,Good,Intermediate,Agree,"send small rays at the same time. they will not harm the healthy tissue at low radiation, but may be sufficient as a group to destroy the tumor.",1,there was not enough timer on this hit in order for me to submit in time. why would you do this??? so much writing.,0,Male,,Non-Hispanic White or Euro-American,35 - 44,please extend the HIT timer. there was no way i could think and write this much in only 12 minutes. unacceptable.
149,2,Good,Poor,Agree,shoot it with lots of low intensity rays for a long time.,1,you might use low do\ses continuously,1,Male,,Non-Hispanic White or Euro-American,35 - 44,
150,2,Intermediate,Poor,Strongly Agree,IDENTIFY THE HEALTH ISSUES,0,I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. ,0,Female,,Latino or Hispanic American,35 - 44,GOOD
151,2,Intermediate,Poor,Strongly Agree,IDENTIFY THE HEALTH ISSUES,0,The Radiation Problem and Its Solution from a Health Communication Perspective,0,Male,,Latino or Hispanic American,25 - 34,GOOD
152,1,Intermediate,Poor,Moderately Agree,"Suppose you are a doctor faced with a patient who has a malignant tumor in his stomach. It is impossible to operate on the patient, but unless the tumor is destroyed the patient will die. There is a kind of ray that can be used to destroy the tumor. If the rays reach the tumor all at once at a sufficiently high intensity, the tumor will be destroyed",0,"ne night a fire broke out in a wood shed full of timber on Mr. Johnson_媉s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasn_媉t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under con",0,Male,,South Asian or Indian American,25 - 34,thank you
153,2,Intermediate,Poor,Agree,"Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time.
The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress.",0,"Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time.
The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress.",0,Male,,South Asian or Indian American,25 - 34,
154,1,Good,Poor,Agree,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post.
Bear with me; we need to set things up first.
In a 1945 paper, Duncker offered the following scenario.",0,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post.
Bear with me; we need to set things up first.
In a 1945 paper, Duncker offered the following scenario.",0,Male,,South Asian or Indian American,25 - 34,i was interest this survay . good
155,2,Good,Poor,Disagree,"Maybe the ray can be emitted by a small device that can be swallowed into the stomach, such as used in an endoscopy or similar procedure. So as to only target the tumor and not the extra tissue between the stomach and the outside skin.",0,I don't know the answer to this question.,0,Female,,Non-Hispanic White or Euro-American,35 - 44,"The timer is very short for this task. I felt a lot of time pressure to complete the survey quickly because of only having a 12 minute timer. With more time, I might have been able to answer the last question about a solution based on either of the prior stories."
156,1,Good,Poor,Agree,QUALIFIED X RAYS,0,HEALTHY FOOD,0,Male,,South Asian or Indian American,25 - 34,REALLY GOOD
157,2,Intermediate,Poor,Moderately Agree,"Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.",0,"The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.",0,Male,,South Asian or Indian American,25 - 34,thank you
158,2,Good,Poor,Agree,I have no idea.,0,I would use many smaller rays.,1,Female,,Non-Hispanic White or Euro-American,25 - 34,
159,2,Intermediate,Poor,Strongly Disagree,X ray treatment.,0,I dont have a solution and I am not good with medical background.,0,Male,,South Asian or Indian American,25 - 34,Gve more time
160,1,Good,Intermediate,Agree, Lower intensities the rays would be used several time to cure tumor.  ,1,lower intensities of rays would be used several time to clear the tumor.,1,Male,,South Asian or Indian American,25 - 34,None
161,1,Intermediate,Good,Moderately Agree,Use many small rays together.,1,Use many lower intensity rays focused together.,1,Male,,Non-Hispanic White or Euro-American,25 - 34,
162,1,Good,Good,Agree,A procedure where there are many lower intensity rays pointed at the tumor to destroy it.,1,Using many lower intensity rays at the same time to destroy the tumor.,1,Male,,East Asian or Asian American,18 - 24,
163,2,Good,Poor,Agree,IT CAUSE HARM TO HUMAN AND VERY DANGEROUS TO PREGNANCY WOMEN AND FOR CHILDREN BECAUSE IT HAVING HIGH INTENSITY,0,IT CAN BE PURIFIED AND TO BE USED IN CORRECT MANNER SO THAT WE CAN AVOID UNWANTED RADIATION,0,Male,,Non-Hispanic White or Euro-American,25 - 34,VERY NICE
164,1,Good,Poor,Agree,NOTHING ITS ALSO GOOD,0,I ALMOST FACED THE PROBLEM,0,Male,,South Asian or Indian American,25 - 34,GOOD AND VERY INTERESTING STORY.
165,2,Good,Poor,Agree,I think the mid point of rays is best option for it. Middle intensity is good choice not lower and higher. In this way everything will be fine.,0,I think I would try middle intensity instead of low or high intensity. This will be best and suitable option for me as a doctor and for patient. ,0,Male,,Native American or Alaskan Native,35 - 44,It's interesting. Thanks.
166,2,Good,Poor,Moderately Agree,I'm not sure.,0,"I'm not sure.
",0,Male,,Prefer not to answer,35 - 44,
167,1,Good,Intermediate,Strongly Agree,Shoot many lower intensity rays at different directions at the tumor at the same time.,1,Shoot many lower intensity rays at different directions at the tumor at the same time.,1,Female,,East Asian or Asian American,35 - 44,None.
168,2,Intermediate,Poor,Agree,YES  THE HEALTHY TISSUE THAT THE RAYS PASS THROUGH ON THE WAY TO THE WAY TO THE TRUMOR WILL ALSO BE DESTROYED.,0,"IF THE RAYS REACH THE TUMOR ALL AT ONCE AT A SUFFICIENTLY HIGH INTESITY
If I could welcome you to the meeting. national resilience, and no ... training and procurement functions, suggest a there is a proposal that the police might be ... as we term it, to ensure that the Fire and Rescue advice to both the ministers within the ODPM and ...... resilience issues, but that is not the end of the story.",0,Male,,East Asian or Asian American,18 - 24,GOOD
169,1,Intermediate,Poor,Agree,health issues is usual toall ,0,we should protect our health ,0,Male,,South Asian or Indian American,25 - 34,good 
170,2,Good,Poor,Moderately Agree,I have no idea.,0,Go around the healthy tissue.,0,Female,,Non-Hispanic White or Euro-American,25 - 34,No. Thank you!
171,2,Intermediate,Poor,Moderately Agree,"A small country was ruled from a strong fortress by a dictator. The fortress was situated in the middle of the country, surrounded by farms and villages. Many roads led to the fortress through the countryside. A rebel general vowed to capture the fortress. The general knew that an attack by his entire army would capture the fortress. He gathered his army at the head of one of the roads, ready to launch a full-scale direct attack. However, the general then learned that the dictator had planted mines on each of the roads. The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress. However, any large force would detonate the mines. Not only would this blow up the road, but it would also destroy many neighboring villages. It therefore seemed impossible to capture the fortress. However, the general devised a simple plan. He divided his army into small groups and dispatched each group to the head of a different road. When all was ready he gave the signal ",0,GOOD,0,Male,,South Asian or Indian American,25 - 34,THANK YOU
172,1,Intermediate,Poor,Agree,bed,0,Transferring Critical Thinking Skills across Content Areas: The Effects of Multiple Content Areas and Summary Generation on the Analogical Problem Solving of Regular and Honors Students,0,Male,,South Asian or Indian American,25 - 34,good
173,1,Good,Poor,Agree,onn,0,non,0,Male,,South Asian or Indian American,25 - 34,good
174,2,Good,Poor,Strongly Agree,NOTHING PROBLEM ITS ALL GOOD,0,GOOD NO PROBLEM,0,Male,,South Asian or Indian American,25 - 34,VERY INTERESTING STORY AND GOOD GREATFUL
175,1,Good,Good,Agree,"Use a lot of small rays all at once, each with a lower level of radiation. Target the tumor with these smaller rays.",1,Use a series of smaller rays with less radiation and target the tumor with the group of rays (rather than one large powerful ray).,1,Female,,Non-Hispanic White or Euro-American,25 - 34,
176,2,Intermediate,Poor,Moderately Agree,good story,1,nice and interesting story,1,Female,,South Asian or Indian American,25 - 34,thank you
177,1,Poor,Poor,Strongly Agree,very affect of the more radiation pronlemss,0,both are also bery danger to the radiation probkem,0,Male,,Non-Hispanic White or Euro-American,18 - 24,nice
178,2,Good,Poor,Moderately Agree,"The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.
",0,"Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time. In this way, the general captured the fortress and overthrew the dictator.
",0,Male,,South Asian or Indian American,25 - 34,good stories
179,1,Good,Good,Strongly Agree,Several lower intensity rays from different points all going to the tumor.,1,Using lower intensity rays from different areas all pointing to the tumor.,1,Male,,Non-Hispanic White or Euro-American,25 - 34,
180,1,Good,Good,Agree,"Use multiple sources of rays at the same time, focused on the tumor, to avoid too high of a concentration on any one spot of healthy tissue, but still irradiate the tumor.",1,"Apply the rays from multiple sources at a lower intensity, so they won't apply too much radiation to one area of healthy skin, but will all contact the tumor and destroy it with their combined power.",1,Male,,Non-Hispanic White or Euro-American,25 - 34,"The last couple of questions about proposing a solution to the tumor problem were confusing. I wasn't sure what I was supposed to be doing, at first."
181,1,Good,Good,Moderately Agree,"You'd want to focus the tumor from different directions. Then, each segment of healthy tissue would only be subjected to a smaller portion of radioactivity, reducing the amount of damaged tissue while ensuring that the tumor received as much chemotherapy as required.",1,I think I already wrote this kind of solution. You'd want to focus the ray from as many directions as possible so that each segment of healthy tissue was not being exposed to harm while also ensuring that the tumor was weakened as much as possible.,1,Male,,Non-Hispanic White or Euro-American,25 - 34,
182,2,Good,Poor,Moderately Agree,Using the rays in a way that does not harm the individual. the most precisive methods available.,0,Adjust the ray until it's effective enough to kill the tumor but not harm the stomach.,0,Male,,Non-Hispanic White or Euro-American,25 - 34,Give us enough freaking time damnit!!!!!!!!!!
183,2,Good,Poor,Agree,"Analogies involve reasoning about relations, in particular about relational similarity, so that a correspondence is established between one set of relations and another.
In principle, reasoning may involve at least three types of correspondences:
_嫝 ""property correspondence"" - e.g., is a 3 inch disk more like a quarter or a pizza?
_嫝 ""concept correspondence"" - e.g., is a turkey a bird?
_嫝 ""system correspondence"" - e.g., is the internal structure of an atom like the solar system?
Analogical reasoning is primarily concerned with systemic correspondences, as in problem solving, where a solution to a known problem may be applied to solving a structurally similar problem.",0,"Analogies involve reasoning about relations, in particular about relational similarity, so that a correspondence is established between one set of relations and another.
In principle, reasoning may involve at least three types of correspondences:
_嫝 ""property correspondence"" - e.g., is a 3 inch disk more like a quarter or a pizza?
_嫝 ""concept correspondence"" - e.g., is a turkey a bird?
_嫝 ""system correspondence"" - e.g., is the internal structure of an atom like the solar system?
Analogical reasoning is primarily concerned with systemic correspondences, as in problem solving, where a solution to a known problem may be applied to solving a structurally similar problem.",0,Female,,South Asian or Indian American,18 - 24,good survey to provide some of helpful information
184,1,Good,Poor,Agree,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post.",0,"Goswami & Brown reasoned that children might fail Piaget's tasks because they lack knowledge of the relations entailed. On this view, children ought to be able to solve classical analogy problems provided the analogies are based on familiar relations.
The task: children were presented with a horizontal array of 3 pictures (the a, b, and c) terms and were given 5 pictures from which to chose one to complete the sequence.",0,Male,,South Asian or Indian American,25 - 34,very helpful this survey 
185,2,Good,Good,Agree,The type of procedure that could be used to destroy the tumor with rays and also avoid destroying healthy tissue would be to use the rays separately on certain parts of the tumor at different times.,0,The best procedure would be to use the high intensity rays on different parts of the tumor instead of all at once.,0,Female,,Non-Hispanic White or Euro-American,25 - 34,The only issue I had was that there wasn't enough time to complete this survey before the timer expired on the HIT page.
186,2,Good,Good,Strongly Agree,I would combine many smaller rays of lesser power that would harmlessly pass through normal tissue before converging at the tumor to destroy it.,1,Use many rays of lesser power that pass harmlessly through normal tissue before converging at the tumor and combining to destroy it.,1,Male,,Non-Hispanic White or Euro-American,55 - 64,no issues
187,1,Good,Poor,Moderately Agree," a doctor faced with a patient who has a malignant tumor in his stomach. It is impossible to operate on the patient, but unless the tumor is destroyed the patient will die.",0,"a kind of ray that can be used to destroy the tumor. If the rays reach the tumor all at once at a sufficiently high intensity, the tumor will be destroyed.",1,Male,,South Asian or Indian American,35 - 44,good
188,2,Good,Poor,Moderately Disagree,"I have no idea.  I'm not a doctor.  Is there some kind of procedure that can target the tumor and not the tissue?  Could they open the patient up, move muscles/tissues/organs around the tumor and then target the tumor?  ",0,"Small bits of the ray being shot at the tumor from different angles that would leave the tissues around it unharmed, but if all the rays met at the tumor at the same time, it would effect the tumor in a major way.  Ahhhhh I see what you did there! ",1,Female,,Non-Hispanic White or Euro-American,25 - 34,"Not unclear, it took me a a min to get to the solution I think you were looking for, but I got there eventually! "
189,1,Good,Intermediate,Agree,several small rays from different angles all focused on the target so that each one individually isn't strong enough to damage the tissue along its path,1,Aim several smaller rays from different angles on the target - same solution as previously stated,1,Female,,Non-Hispanic White or Euro-American,55 - 64,nothing more to say
190,2,Good,Good,Agree,Use even more weaker rays that don't damage the skin but add up to a powerful amount that will destroy the tumor.,1,Use lighter rays but more of them that add up to the same strength.,1,Male,,Non-Hispanic White or Euro-American,25 - 34,
191,2,Good,Poor,Agree,yes destroying the tissues,0,destroying the tissues,0,Male,,South Asian or Indian American,25 - 34,very intresting 
192,1,Good,Good,Moderately Agree,A focused gene therapy might be best.,0,Perhaps many smaller treatments would work.,1,Male,,Non-Hispanic White or Euro-American,35 - 44,
193,2,Intermediate,Poor,Moderately Agree,the It is impossible ,0,It is impossible ,0,Male,,South Asian or Indian American,25 - 34,none
194,1,Good,Poor,Strongly Agree,Have to have high and wing it,0,get a lot of low frequency and work together to make high,1,Female,,Non-Hispanic White or Euro-American,25 - 34,
195,1,Good,Good,Strongly Agree,Adjust which part of the body the rays enter through so there is minimal healthy tissue between the ray and the tumor.,0,"Using this logic, you would use multiple smaller rays instead of one large ray, and aim them all around any healthy tissue.",1,Male,,Non-Hispanic White or Euro-American,25 - 34,"Nothing, thank you."
196,2,Good,Poor,Moderately Agree,"At lower intensities, the rays are harmless to healthy tissue, but they will not affect the tumor, either. What type of procedure might be used to destroy the tumor with the rays and at the same time avoid destroying the healthy tissue",0,"The Tumor and the Fortress The fact that people can impose coherent interpretations on messy, ambiguous  What type of procedure might be used to destroy the tumor with the rays and at the same time avoid destroying the healthy tissue",0,Male,,Non-Hispanic White or Euro-American,25 - 34,all clear no confusing
197,2,Good,Poor,Moderately Agree,One that is very pinpointed and targeted only at tumor.,0,"Perhaps, dividing up the tumor area and only a little bit of ray on a little bit of tumor such as dividing up ""The General.""",0,Female,,Non-Hispanic White or Euro-American,35 - 44,Not unclear.
198,2,Good,Poor,Agree,"I'm honestly not sure. This seems like the kind of situation where some damage is going to be caused either way. If you can't operate, then the tissue in front of the tumor will be destroyed. ",0,"Maybe you could use several different beams? I don't think that would work though, as they'd all have to be set to the lower intensity to avoid damaging the healthy tissue, and the story already told me that the lower intensity won't affect the tumor.",0,Male,,Non-Hispanic White or Euro-American,25 - 34,
199,1,Intermediate,Poor,Agree,There is a kind of ray that can be used to destroy the tumor. ,0, high intensity,0,Female,,South Asian or Indian American,18 - 24,
200,1,Good,Intermediate,Agree,"Use multiple, less intense x-rays that converge on the tumor.",1,Using multiple lower intensity x-rays that converge on the tumor without destroying the healthy tissue.,1,Male,,Non-Hispanic White or Euro-American,35 - 44,
201,2,Intermediate,Poor,Moderately Agree,a moderate intensity of rays should be use so that tumor can kill with minimum health issues.,0,the knife to cut down the tumour instead of rays.,0,Male,,South Asian or Indian American,35 - 44,thanks
202,1,Good,Poor,Agree,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post.",0,"reating cancer. High-powered gamma rays are used to kill cancer cells inside the body. As the gamma rays strong enough to kill cancer cells would also kill healthy cells around the tumour, several weaker sources are used and arranged so the gamma rays are focused on the tumour.",0,Male,,South Asian or Indian American,25 - 34,good
203,2,Good,Poor,Moderately Agree,perhaps have a lead vest on to prevent some of the damaging rays? it almost seems impossible to not destroy healthy tissue in this scenario if you can't cut open the patient to reveal the tumor. ,0,"without being able to operate and open the patient, i can't see how it would be impossible to not destroy healthy tissue. I would just try and focus the radiation on the tumor as direct as possible to mitigate the loss of healthy tissue. ",0,Female,,Non-Hispanic White or Euro-American,25 - 34,
204,1,Good,Poor,Agree,very interessing.,0,no.,0,Male,,"Black, Afro-Caribbean, or African American",25 - 34,This survey is very interesting.
205,2,Good,Poor,Moderately Agree,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post.",0,"According to Loewenstein, Thompson, and Gentner (1999), 10% of people who were asked to solve this problem suggested using multiple, simultaneous low-dose rays from various angles. Each ray is low-dose, so wouldn_验t damage the tissues it passed through to reach the tumour. All the rays would converge at the tumour, leading to a cumulative high dose only at the tumour.",0,Male,,Non-Hispanic White or Euro-American,25 - 34,very complicated
206,2,Good,Poor,Moderately Agree,"if we can somehow accumulate radiation in bad cells, then we can destroy it.",0,we have to find a way to consolidate rays at bad tissue,0,Female,,Non-Hispanic White or Euro-American,35 - 44,"I did best of my ability, thanks for interesting hit"
207,2,Good,Poor,Agree,YES IS SAME,0,SAME,0,Female,,South Asian or Indian American,18 - 24,NICE
208,2,Good,Poor,Moderately Agree,"maybe they could send rays through different routes, in smaller increments but that measure to the larger ones.",1,Dividing the rays and sending them from different directions so that they still have strength but not at same location.,1,Female,,Non-Hispanic White or Euro-American,45 - 54,everything was clear
209,1,Good,Intermediate,Moderately Agree,Use only small sessions of radiation. Use CBDs or other helpful compounds for recovery after difficult radiation sessions.,0,Use small amounts of radiation on different parts of the tumor. Don't bombard the tumor with radiation.,1,Female,,Non-Hispanic White or Euro-American,35 - 44,
210,1,Good,Poor,Strongly Agree,"The general attributed his success to an important principle: If you need a large force to accomplish some purpose, but are prevented from applying such a force directly, many smaller forces applied
",1,"The general attributed his success to an important principle: If you need a large force to accomplish some purpose, but are prevented from applying such a force directly, many smaller forces applied
",1,Male,,Native American or Alaskan Native,25 - 34,any
