Subject ,Condition ,Summary  General ,summarize The Fire Chief,Comprehensibility,Describe two stories seemed similar.,The two stories are similar,Radiation.WO.Hint,BeforeHint,Radiation.W.Hint,AfterHint,Gender,Gender.Other,Race,Age,Feedback,,,,,,,,,,,,,,,,,,,,,
121,2,The general was trying to defeat the dictator but there were many obstacles in his way. Eventually a new plan was made ,His shed was on fire but luckily his shed was near a lake. Unfortunately the citizens only had buckets but they threw water all at the same time and were able to extinguish the fire. After this he became the fire chief. ,Intermediate,I only saw that people had to work together and there were two official authorities. The dictator and a chief,Disagree,Radiation therapy ,,"I'm not really sure but radiation therapy can help along with some drugs. It is difficult to solve this because my knowledge is limited in this field, plus this hit only has a 12 minute limit. ",,Male,,Middle Eastern or Arab American,25 - 34,12 limit is too short to give a in depth response. ,,,,,,,,,,,,,,,,,,,,,
122,1,"A general need to bypass traps, so he split up his troops to arrive at the same time, but safely. ","The fire chief had the people gather the water and wait to pour it all on at once, instead of small buckets at a time. ",Good,The moral of both stories was the same- that sometimes you need a new approach to a problem. Both stories involved looking at a problem in a new way. ,Agree,"Point lower intensity rays at the tumor from multiple angles, so that they gather as one ray on the tumor. This saves the healthy tissue while destroying the tumor. ",,"Point multiple low intensity rays at the tumor from different angles, so they group on the tumor and destroy it but don't harm the healthy tissue. ",,Female,,Non-Hispanic White or Euro-American,25 - 34,,,,,,,,,,,,,,,,,,,,,,
123,1,"A large, organized distribution of small elements can overcome a much larger issue.",Teamwork works.,Good,"Joint, organized efforts will achieve success. ",Agree,Align the rays at low intensity but allow them to intersect at a tumour where their joint power will the applied. ,,"Using a smaller amount but in a joint, directed effort as in The Fire Chief.",,Male,,Non-Hispanic White or Euro-American,35 - 44,,,,,,,,,,,,,,,,,,,,,,
124,2,A rogue general wanted to overtake a fortress in the middle of the country surrounded by farms. Many roads led to this fortress and the general gathered an army to take the fortress. Just before proceeding the general learns that the roads are booby trapped to prevent large groups of people traveling on them at once. So he devises a plan to send small groups of soldiers towards the fortress on different roads. The plan succeeds and they are able to meet at and overtake the fortress.,"A shed next to a person's house catches on fire. The entire village wakes up to battle the fire. The are armed with small bucks. The shed happens to be near a lake. As soon as villagers pour their buckets of water on the fire, it is evaporated. They are making no progress in putting the fire out. The fire chief arrives and orders everyone to grab a bucket of water and surround the shed. They will pour their buckets at the same time. The strategy works and the fire is put out. The fire chief is voted a raise.",Good,there was a problem that a leader needed to solve. they both succeed and become heroes.,Strongly Agree,"multiple rays shining on the tumor for intense, but short periods of time.",,gathering multiple lasers to attack the tumor from all sides at once.,,Male,,"East Asian or Asian American,Non-Hispanic White or Euro-American,Other",35 - 44,,,,,,,,,,,,,,,,,,,,,,
125,1,"There was a small country which has a fortress in the middle that had the dictator. Someone wanted to overthrow him and got a big army but the big army could not get through a minefield due to it exploding if there were too many troops. Because there were many roads to the fortress, the general split up the troops, didn't trigger the bombs and overthrew the dictator.",There was a wood shed on fire and a bunch of people with buckets were trying to douse it one by one but this didn't work. The chief arrived and got everyone to fill their buckets and throw the water on it at the same time to put out the fire.,Good,They both used the idea that a big problem can be solved by many small things or people.,Agree,"Using many smaller lasers to target the tumor and build up the power, they could target it at the same time and not harm the surrounding tissue.",,Smaller rays can be used together to get a high enough intensity to destroy the tumor and not harm the healthy tissue.,,Male,,Non-Hispanic White or Euro-American,35 - 44,"No issues, short timer!",,,,,,,,,,,,,,,,,,,,,
126,1,"A general was needing to capture a fortress however, theyâ€™d set mines around it. If too many people tried to pass theyâ€™d go off. So he sent smaller groups on all different paths to avoid detonating them. They all arrived at the fortress the same time and took control",A man had a fire near his house. They needed to stop it before it spread to his home. He sounded the alarm and the neighbors came to help. Theyâ€™d have to have a lot of water put on it at once to put it out but they only had small buckets. The fire chief showed up and had everyone fill there buckets and throw it on at the same time to put it on,Good,The message to accomplish something big sometimes needs smaller parts,Agree,To do smaller incriminates of treatments at the high dose,,To use smaller treatments times to achieve the goal ,,Female,,Non-Hispanic White or Euro-American,25 - 34,,,,,,,,,,,,,,,,,,,,,,
127,2,The General had to find a way to get his people to the fortress to save the town from a dictator but the dictator placed mines in their way so they couldn't get through. The General overcame the obstacle and was able to save the people from the dictator.,"A man's barn was on fire and his house was at risk of catching on fire. The only water source was from a lake. The people were trying to put out the fire with small buckets of water. It wasn't working. When the fire chief arrived, he had them all fill up buckets and they threw the water on the fire at the same time. This put out the fire. The chief was given a raise.",Good,In both stories someone needed help.,Disagree,laser surgery,,laser surgery,,Female,,Non-Hispanic White or Euro-American,35 - 44,none,,,,,,,,,,,,,,,,,,,,,
128,2,The general took down the unbeatable fortress by moving his men methodically over the land mines in small groups.,The fire chief conquered a shed on fire by employing everyone to simultaneously douse the fire with water from buckets thus saving a nearby house.,Good,The two situations were similar in that an organized and joint effort was required to beat an seemingly unbeatable challenge.,Moderately Agree,A steady increase to the rays might keep the patient safe while destroying the tumor slowly.,,A slow and steady approach works best in these situations.,,Female,,Non-Hispanic White or Euro-American,25 - 34,Too short of a timer,,,,,,,,,,,,,,,,,,,,,
129,2,"A general wanted to overthrow a dictator who was in a central fortress. The roads to the fortress had mines that prevented the general's entire army from approaching all at once, so he had to split the troops up and have them come at the fortress down different roads to avoid having any group large enough to set off the mines. They met at the fortress and were able to secure victory.","Dude's shed caught on fire and it was pretty close to his house. His neighbors all showed up to help and there was a lake right there, so no trouble getting water. But bucket by bucket, the fire wasn't really being affected at all. The fire chief showed up and had everyone surround the shed with filled buckets, then all throw the water at the same time, thus enabling them to get the fire under control. He became known as the tire chief and got a raise.",Good,Both took an approach to a problem and split it up to come at the solution from multiple angles at the same time.,Moderately Agree,Set up an array of rays from around the tumor at different locations to bombard it from multiple angles at the same time with lower intensity. Hopefully that will still have the effect you want.,,Previous solution. No time to retype it -- timer on HIT is too short!,,Male,,Non-Hispanic White or Euro-American,35 - 44,You need a longer timer on this! I have a script to warn me when time is running out and it started clanging at me two screens ago. ,,,,,,,,,,,,,,,,,,,,,
130,2,"A general wanted to rebel the fortress, the general was successful to capture the fortress and threw the dictator.","The fire broke on wood shed of Mr. Johnson, the fire chief helped to get the fire down.",Good,both the stories had issues which seemed impossible to solve then resolved.,Moderately Agree,no idea,,The fire chief,,Male,,South Asian or Indian American,25 - 34,no,,,,,,,,,,,,,,,,,,,,,
131,1,"A small country was ruled from a strong fortress by a dictator. The fortress was situated in the middle of the country, surrounded by farms and villages. Many roads led to the fortress through the countryside. A rebel general vowed to capture the fortress. The general knew that an attack by his entire army would capture the fortress. He gathered his army at the head of one of the roads, ready to launch a full-scale direct attack. However, the general then learned that the dictator had planted mines on each of the roads.
 However, any large force would detonate the mines. Not only would this blow up the road, but it would also destroy many neighboring villages. It therefore seemed impossible to capture the fortress.","One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next.As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.",Good,unity is strength,Agree,Qualified x rays,,yes,,Male,,South Asian or Indian American,25 - 34,good,,,,,,,,,,,,,,,,,,,,,
132,1,HE WANTED TO CAPTURE THE FORTRESS AND TAKE OVER THE DICTATOR. HE DIVIDED HIS ARMY INTO SMALLER GROUPS SO LANDMINES WOULDNT DETONATE. THEY OVERTHREW THE DICTATOR,THE SHED WAS ON FIRE BESIDE A LAKE SO THE FIREMEN ALL TOOK BUCKET AND THREW THE WATER ON THE SHED TO PUT IT OUT,Good,THEY ALL DIVIDED INTO SMALLER FRACTIONS TO GET A MAIN GOAL ACCOMPLISHED,Agree,USING SEVERAL LASER AT A LOWER RATE,,USING A LASER ON A SMALLER AREA OF THE TISSUE ,,Female,,Non-Hispanic White or Euro-American,45 - 54,,,,,,,,,,,,,,,,,,,,,,
133,1,"A general wanted to capture a fortress and had a large army and knew it could capture the fortress but the other king of the fortress had mines set up everywhere, the general proceeded to split his large army up into smaller factions of men and was able to strike all at the same time for a successful attack, capturing the fortress. ","There was a wood shed next to a lake that caught on fire, people were relieved since there was so much water but were unable to put out the fire with small buckets of water so t he fire chief ordered everyone to get a bucket of water and line up around the wood shed, they all simultaneously threw water at the fire and were able to put it out. ",Good,They both applied the idea that sometimes if you cant apply the full force needed you can break it up into small forces that add up to the same thing and be successful. ,Agree,Use a ray at medium level.,,Use the same force in the ray but in small applications. ,,Male,,Latino or Hispanic American,25 - 34,NO,,,,,,,,,,,,,,,,,,,,,
134,1,"A small country was ruled from a strong fortress by a dictator.Many roads led to the fortress through the countryside. A rebel general vowed to capture the fortress. The general knew that an attack by his entire army would capture the fortress.the dictator had planted mines on each of the roads. The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress.He divided his army into small groups and dispatched each group to the head of a different road. When all was ready he gave the signal and each group marched down a different road.the general captured the fortress and overthrew the dictator.
","One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets.If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway.He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.",Good,SOME DIFFERENT BETWEEN THESE TWO STORIES,Moderately Disagree,LOWR INTENSITIES RAY USED FOR DESTROYED TUMOR,,THE SOLUTION DOES NOT DEPENDS ON THESE TWO STORIES SIMPLY FOR MAKING HUMAN HEALTH DEPENDS UPON USED FOR  LOW INTENSITIES FOR DESTROY TUMOR,,Male,,South Asian or Indian American,25 - 34,GOOD STUDY,,,,,,,,,,,,,,,,,,,,,
135,1,"A country was ruled by a dictator who lived in a fortress that was in the middle of the country. A rebel leader wanted to overthrow the dictator and take over the fortress. There were many roads leading to the fortress, which the general thought to use, but he knew that there were mines planted at the roads so that if his entire army traveled through one road, the road would explode and so would the surrounding area. So, the general split up his army into smaller units and each unit traveled a different road separately and they all met up at the fortress and were able to overthrow the dictator without exploding the mines.","A fire broke out in a wood shed and the neighborhood was trying to put out the flames by individually pouring buckets of water one after the other, but it wasn't having much effect. The firefighters arrived and directed the neighbors to all fill up their buckets together from the nearby lake and wait until all the buckets were filled so they could all pour their water at the same time, and they did this and it successfully put out the fire.",Good,"They were both demonstrated that when you need a large force to achieve some action, but are prevented from using such a large force, you can break up the large force into smaller individual forces in order to accomplish the same goal.",Agree,"It seems like you have to use a ray with intensity that is in between the two intensities mentioned so that it's strong enough to kill the tumor tissue without affecting the healthy tissue, or perhaps you have to use a large amount of the lower intensity rays to achieve the same effect.",,Use a large amount of the lower intensity rays in order to kill the tumor tissue without affecting the healthy tissue.,,Male,,Non-Hispanic White or Euro-American,18 - 24,The timer is too short on this and there's an awful lot of writing in such a short time.,,,,,,,,,,,,,,,,,,,,,
136,2,"Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time.The general knew that an attack by his entire army would capture the fortress.The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress.He divided his army into small groups and dispatched each group to the head of a different road.A small country was ruled from a strong fortress by a dictator.","As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire.The fire seemed to evaporate each bucket of water before it hit the wood.
One night a fire broke out in a wood shed full of timber on Mr.Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.If a large volume of water could hit the fire at the same time, it would be extinguished.",Intermediate,"In this way, the general captured the fortress and overthrew the dictator.One night a fire broke out in a wood shed full of timber on Mr.
Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time.
The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress.
The general knew that an attack by his entire army would capture the fortress.
A small country was ruled from a strong fortress by a dictator.",Moderately Agree,"the research question would investigate the relative effectiveness of analogical reasoning compared to providing appropriate background about the machine.  Since no participant has experience in the area, one would expect fixation to be minimal.",,"Unfortunately, at this intensity the healthy tissue that the rays pass through on the way to the tumor will also be destroyed.
At lower intensities the rays are harmless to healthy tissue, but they will not affect the tumor either.
If the rays reach the tumor all at once at a sufficiently high intensity, the tumor will be destroyed.
uppose you are a doctor faced with a patient who has a malignant tumor in his stomach.",,Male,,East Asian or Asian American,25 - 34,,,,,,,,,,,,,,,,,,,,,,
137,1,"At the center of town there was a dictator with a strong fortress, but a rough general knew that he had enough troops to defeat him. Unfortunately the dictator had places mines in the road which would detonate if a large force traveled on them, but allows a small number of individuals to safety cross their path. The rough general decided to break up his army into very small groups, instructing them to take different roads. with the goal of still attacking the fortress at the very same time. The rough general attack the fortress using these smaller groups and was successful in victory!","One night a woodshed filled with lumber caught fire and it was very difficult to extinguish. There were plenty of people who responded to assist with the fire, and the shed was close to a lake - so manpower and water availability was not a problem. The fire raged out of control and threatened to take a house, until a fire chief gathered a large group of people around the shed with water and instructed them to throw the water at the same time. Throwing the water at the same time as a group dampened the fire and allowed them to get it under control. ",Good,The stories both involve smaller elements coming together to form a large element which has a significant impact on the task/problem.,Agree,"Small isolated usage of rays used to damage the tumor significantly over time without causing enough damage to the surrounding body ti prove fatal. Over time the tumor could be destroyed, while the individual maintains their health. ",,I suggested using small isolated bouts of ray usage to destroy the tumor over time. ,,Male,,Non-Hispanic White or Euro-American,35 - 44,,,,,,,,,,,,,,,,,,,,,,
138,2,"The first story was about the fortress which ruled a small country and then a rebel general was planned to occupying the strong fortress by using his army.
second story was about the fire incident.",THe fire chief control the fire accident  by using the people unity,Intermediate,nice,Strongly Agree,nice,,nothing no,,Male,,South Asian or Indian American,25 - 34,,,,,,,,,,,,,,,,,,,,,,
139,2,the general seperated his troops and sent them in different directions to  attack the fortress he captured it and overthrew the dictator.,A fire started on a shed and luckily it was next to a lake when the fire chief showed up he had everyone setup in a circle and got he fire under control.,Good,There was someone in charge during each of them leading people.,Moderately Disagree,Xray possibly might help to show more information,,UV rays might work.,,Male,,Non-Hispanic White or Euro-American,25 - 34,,,,,,,,,,,,,,,,,,,,,,
140,1,"There were mines in their way and only small bodied men could read the fortress. They thought of the tactic to split everyone up on smaller paths to make their way. By doing so, they accomplished what they wanted to","A fire needed to be put out and the water in buckets evaporated before it could be thrown. One person couldn't do it. However, if everyone threw their bucket of water on at the same time, it dappened the fire because it had a stronger force",Intermediate,They used smaller groups to accomplish a larger goal,Moderately Agree,many tiny rays reaching the tumor at once,,many tiny rays at once to hit the tumor,,Female,,Non-Hispanic White or Euro-American,25 - 34,"this was an interesting study
",,,,,,,,,,,,,,,,,,,,,
141,1,The general talked about a general that wanted to capture a fortress. He knew his troops could do it. It was also about how he could use smaller forces if he didn't have large forces. By dividing the army into smaller groups he was able to succeed. ,The fire chief talked about a fire at a wood how and how neighbors tried to put it. They had small buckets and it seems like the water was evaporating. The fire chief arrived and had all the people try to put the fire out at once. They were right ny a lake so there was a lot of water. They wanted to give the fire chief a raise. The fire chief said the same thing as the general with a lot of smal groups they can accomplish a lot.,Intermediate,Because they both said with smaller groups that they could basically achieve the same thing that they could with larger groups. ,Strongly Agree,Using the ray in smaller groups and trying to do it over the course of several tries.,,By trying to use the rays in smaller groups over time.,,Male,,Non-Hispanic White or Euro-American,25 - 34,Thank you for allowing me to participate.,,,,,,,,,,,,,,,,,,,,,
142,2,"The country ruled strong fortress by a dictator.There was based every peoples life and some .A Rebel vowel captured the fortress.So the country was ready to the attack with army strength. Army was well plan to attack the oppoenent to win their war .
Another was mr.johnson wood  fired in the difficult situation. But he was analyse the situation and clear with the plenty water.same time save the his surrounded village  ",Mr johnson wood was fired he was analyze the situation and use the water save his wood place and the save the village from well planing mind ,Intermediate,Well plan was is similar in the station and  danger position was revoked ,Agree,I can manage the problem,,Fire place ,,Male,,East Asian or Asian American,25 - 34, nice,,,,,,,,,,,,,,,,,,,,,
143,2,"Johnnie Gray is an engineer on his train, The General, on the Western and Atlantic railroad. When war is declared between North and South he does his best to sign up with the Confederate army but is refused because he's in a designated occupation. His sweetheart Annabelle and her family don't believe him and she's ashamed, thinking he's shirking his duty. Meanwhile the Union army hatches a plan to steal the General and when it stops in Big Shanty they snatch it and head north. Annabelle Lee is a passenger on the train and Johnnie goes behind enemy lines to rescue his train and his girl.","Hellmers' attorney, Galen Brown, said Wednesday that the chief insisted on hiring authority because that's what Kenner's charter provides. He said the firing was retaliation after Hellmers sought a Louisiana attorney general's opinion on the matter.",Good," Hellmer's office was a mess, with documents heaped willy-nilly on his desk, the floor and credenza. Among the records were 39 unopened letters of importance and some unpaid repair bills, including one overdue since early 2016.",Agree,same but some different,,good,,Male,,South Asian or Indian American,25 - 34,good,,,,,,,,,,,,,,,,,,,,,
144,1,"A country was ruled by a small dictator. A fortress was located in the middle of the country surrounded by farms and villages. A rebel general said he would capture the fortress. He knew that an attack by his entire army would capture the fortress. So he gathered his army. However, he became aware of mines. The general came up with a plan to march down a different road with another group. They continued down this road and met up in the middle and overthrew the dictator.",A fire broke out in a woodshed and within minutes the place was already burning. The neighbors tried to keep it out with buckets. The fire chief arrived quickly and had everyone fill their buckets as they all threw the water at the fire. Ther force of the water killed the fire.,Intermediate,They both required a leader to accomplish the task at hand.,Agree,Use the ray partially and try to avoid destroying healthy tissue.,,Have someone operate on the patient whilst some else uses the ray.,,Male,,Non-Hispanic White or Euro-American,18 - 24,,,,,,,,,,,,,,,,,,,,,,
145,1,YES,YES,Good,YES,Strongly Agree,YES,,YES,,Male,,Non-Hispanic White or Euro-American,45 - 54,GOOD,,,,,,,,,,,,,,,,,,,,,
146,1,If you need a large force but can't go directly with all of them use smaller forces from all sides,If you need a large force but are unable to use it directly then split the force and hit it from all angles at the same time,Good,They both had a large obstacle for a large group that could be resolved by splitting into smaller groups and cooperating.,Strongly Agree,A procedure that attacked the tumor from many different directions with smaller amounts of rays from each direction.,,A procedure that used smaller doses of rays from all angles rather than one large dose from the same angle,,Male,,Non-Hispanic White or Euro-American,35 - 44,,,,,,,,,,,,,,,,,,,,,,
147,2,"this general story is  based on farmers and workers and village people ,",fire chief is always saving people lives he always help to each other.,Good,its based on village people life ,Agree,health issues,,good,,Male,,South Asian or Indian American,25 - 34,good,,,,,,,,,,,,,,,,,,,,,
148,2,"A rebel general wanted to capture the fortress, but because the dictator had planted lots of small mines on the roads, if the general sent his whole army they would set off the mines and kill themselves as well as destroy neighboring villages. The general knew that small groups of men would not set off the mines, because the dictator set it up so that troops and supplies could get through, so the General split up his army into smaller groups of soldiers and sent them along the roads. The groups were small enough not to set off the mines, and when all the groups arrived at the fortress, they were able to lay siege and overthrow the dictator.","There was a wood shed on fire. Neighbors arrived to help with buckets that they filled from the nearby river. Because the blaze was so strong, the water in the buckets evaporated before it could put out the fire. The fire chief arrived and had everybody fill the buckets, and then once they were all filled, they threw the water on the fire at once, extinguishing it.",Good,they both involved splitting up the forces in order to attain a greater goal that was impossible without strategy.,Agree,"send small rays at the same time. they will not harm the healthy tissue at low radiation, but may be sufficient as a group to destroy the tumor.",,there was not enough timer on this hit in order for me to submit in time. why would you do this??? so much writing.,,Male,,Non-Hispanic White or Euro-American,35 - 44,please extend the HIT timer. there was no way i could think and write this much in only 12 minutes. unacceptable.,,,,,,,,,,,,,,,,,,,,,
149,2,A general was trying to move his troops but there were mines everywhere.  He divided his men to overcome the obstacle,An amateur couldn't put out a fire. Luckily the chief knew the right way to douse it was to throw all the buckets of water at the same time,Good,A person had to  command a group of people.,Agree,shoot it with lots of low intensity rays for a long time.,,you might use low do\ses continuously,,Male,,Non-Hispanic White or Euro-American,35 - 44,,,,,,,,,,,,,,,,,,,,,,
